LOCATION_ID,area,lon,lat,remark,pop_2021,cell_count
6,313.65484905460295,44.78753610900606,15.240690643869849,old,0.0,1405
7,313.654849054594,45.77347877677022,16.03904577045526,old,0.0,1400
8,313.65484905459806,45.57261673758347,13.27437570195727,old,0.0,1425
9,307.7992831720628,42.158882673549655,14.41536449758647,old,13.121501233491117,1384
10,310.52521709005697,44.57838932064228,15.998098474560305,old,358.91875741578014,1386
11,313.6548490546,44.65765698553102,16.448503361956504,old,0.0,1397
12,313.65484905460016,43.65937168447759,13.562796253866676,old,0.0,1416
13,313.6548490545932,44.44071715724083,14.763834869326889,old,26387.99630654183,1408
14,313.65484905459687,43.67109697509089,14.090906347006475,old,0.0,1412
15,313.65484905459374,41.512956572751726,15.184699654557658,old,0.0,1403
16,313.6548490545952,41.692452292124585,13.24579141537916,old,0.0,1417
17,313.6548490545951,44.47324317028859,13.539889003337189,old,0.0,1414
18,313.65484905459783,43.0635818360337,15.667392269929538,old,4839.692091666893,1407
19,300.56636203806204,43.302735771248535,14.80125513002472,old,5008.846095429259,1351
20,313.6548490546025,41.801784498373536,15.979293307172656,old,0.0,1408
21,313.6548490545904,44.64195856625603,16.16785586474849,old,0.0,1398
22,264.7115228516842,44.80455428394325,14.548884297455295,old,0.0,1189
23,305.4374356746294,43.420401753342176,15.78571988003513,old,5328.4847294651645,1365
24,313.65484905460056,45.06095764302535,14.480089982773,old,0.0,1413
25,237.31587963691047,42.22087004253101,15.426664247016369,old,2814.941747444597,1062
26,313.6548490546,44.14865909288718,14.945335579521894,old,9677.762612437506,1412
27,310.7324118523993,42.89838863394169,16.460774009736102,old,0.0,1386
28,300.6921700289476,45.1002350261376,14.21335870548952,old,0.0,1355
29,307.79896955659274,41.99751868772547,14.423553475052332,old,11.564701168311288,1384
30,310.5216649778812,44.442141310280206,15.903836684610347,old,20852.37993462417,1388
31,313.6548490545967,44.01889749529219,15.090524274450551,old,20822.677872769207,1410
32,197.14224446376937,43.43275659748991,15.493317539216546,old,3180.233346559694,881
33,313.654849054591,42.84380195537791,13.407503125531743,old,0.0,1424
34,300.6926952060988,44.979628423434974,14.297977296098551,old,0.0,1351
35,299.7184600301137,43.75996501467169,14.74351579842626,old,5884.323318262859,1340
36,300.5688527006075,43.1683733038314,14.739714770838797,old,5213.507432393079,1346
37,313.6548490545915,45.32230772644156,14.840836278534235,old,0.0,1410
38,313.6548490545962,44.70540986815444,13.977681182418465,old,0.0,1413
39,313.6548490545992,44.72622416201315,17.457552383844558,old,0.0,1391
40,313.65484905458953,45.40392813228138,16.471782363364685,old,0.0,1394
41,313.6548490545936,43.10403548538223,15.11644534280623,old,6541.721070012117,1407
42,313.6548490545939,43.439315879596464,13.65521687614406,old,0.0,1420
44,305.43797051237857,43.263712738884486,15.77658060596745,old,4562.339934359131,1366
45,197.1318570426997,43.3966486811334,15.498427390304784,old,7870.921108954027,879
46,313.6548490545984,44.23309959947026,16.06754313580034,old,705.7234103728464,1396
47,237.3299798379101,42.14885054504203,15.407966263403305,old,2963.7250395736005,1064
48,313.65484905459124,42.47358113399182,14.936575021844927,old,3597.1387437288413,1411
49,310.7322063400912,43.066354015027365,16.470657256721008,old,0.0,1380
50,264.7032864966371,44.90506438567498,14.570476938910534,old,0.0,1195
43,287.61271637926933,43.59787584153467,14.629184526050148,update,3006.8400418385186,1296
3,313.6548490545859,46.34703971,15.68263669,update,0.0,1408
4,313.65484905459334,43.50183204,14.7818235,update,5093.104271260772,1408
5,313.6548490545961,42.77099382,15.15231439,update,16829.24343971473,1407
55,287.6164276944721,43.70099382,14.55231439,update,4102.026738236195,1297
